"item","outfit","z.outfit","infit","z.infit"
"Item_1",0.871452023705518,-1.80857022366863,1.03584801709744,0.621982490856559
"Item_2",0.904061817581706,-1.6824620088026,1.00948587620744,0.215177977366414
"Item_3",0.806929150915236,-3.78484550248169,0.980403013526814,-0.501050856228989
"Item_4",0.713601163754428,-6.81371377021015,0.912730577696366,-3.13268757105818
"Item_5",0.770634202568856,-7.05153181611656,0.893480208338199,-4.57170935645265
"Item_6",0.757253045916834,-9.65552273741387,0.850929020625905,-8.35089477261767
"Item_7",0.742767856959292,-13.2459889989978,0.814810259881046,-13.2172793224494
"Item_8",0.90070595990607,-9.42853937347447,0.911798649854718,-9.54025162191322
"Item_9",0.905437536184652,-8.12733254238307,0.913949866754956,-8.18357739468733
"Item_10",0.959632176874881,-3.25747846316488,0.962299367877478,-3.24770462679278
"Item_11",0.960257658846537,-2.10885489070931,0.970750626204068,-1.69824514347764
"Item_12",0.981537715030092,-0.909517416423144,0.988066612075322,-0.620555116408743
"Item_13",0.996626107411667,-0.153873843937179,1.00094471239426,0.0529391276335915
"Item_14",0.832078914597633,-2.91817242484615,0.993059872481164,-0.147612420104992
"Item_15",0.891020922247953,-3.97450407247871,0.94172390901245,-2.67782778331513
"Item_16",0.89017937726857,-7.19588562870574,0.913980895544945,-7.01791971523629
"Item_17",0.959285891285047,-6.38132944701128,0.962734865759306,-6.26161937833247
"Item_18",0.963296522702674,-2.72050121050469,0.96841042812556,-2.52463748831127
"Item_19",0.886569274574314,-5.52249575763884,0.926940141866168,-4.50608140170726
"Item_20",0.89608592599517,-9.27356377993492,0.91077489514986,-9.4282377556418
