"item","testlet","parametro","verdadeiro","estimativa","erro_padrao","ic95_inferior","ic95_superior"
"Item_1",0,"a",0.8,0.797958462635985,0.107575138746768,0.587115065060421,1.00880186021155
"Item_1",0,"b",-3,-3.06264060305196,0.450511265468746,-3.94562645800027,-2.17965474810365
"Item_1",0,"c",0.2,0.217284450193217,0.119708635321688,0.0653067383794217,0.524480197918959
"Item_2",0,"a",0.85,0.753313953206109,0.0942019158601684,0.568681590845507,0.937946315566711
"Item_2",0,"b",-2.5,-2.76028050882041,0.398392124320471,-3.54111472421294,-1.97944629342789
"Item_2",0,"c",0.21,0.198772547650286,0.106018166367102,0.063050099496061,0.477698014387653
"Item_3",0,"a",0.9,1.00148019104483,0.118960873872462,0.76832116268539,1.23463921940427
"Item_3",0,"b",-2,-1.77655122233039,0.35094686229169,-2.46439443290944,-1.08870801175134
"Item_3",0,"c",0.22,0.234559570247419,0.130310452792134,0.068799620951446,0.559662546775997
"Item_4",1,"a",0.95,1.03417636300728,0.287522738954956,0.470642149919251,1.5977105760953
"Item_4",1,"b",-1.5,-1.02908623889314,0.700651433520077,-2.40233781430885,0.344165336522567
"Item_4",1,"c",0.23,0.386715618731418,0.175624654904812,0.12869854321047,0.729134713952285
"Item_5",1,"a",1,0.840456929437228,0.114127977803574,0.616770203313836,1.06414365556062
"Item_5",1,"b",-1,-1.28344410659849,0.372990769831051,-2.01449258203322,-0.552395631163763
"Item_5",1,"c",0.24,0.208478407602426,0.10526680455864,0.0701474960696884,0.479057882959982
"Item_6",1,"a",1.05,0.894757560782255,0.120733398190226,0.658124448598278,1.13139067296623
"Item_6",1,"b",-0.5,-0.778842104138534,0.294830098735338,-1.35669847921819,-0.200985729058882
"Item_6",1,"c",0.25,0.183025497035153,0.0856621708417927,0.0679369539721908,0.407781418734145
"Item_7",1,"a",1.1,1.06629660776513,0.20527140967258,0.663972037751108,1.46862117777916
"Item_7",1,"b",0,-0.0755363932103095,0.274370528180805,-0.61329274686392,0.462219960443301
