"individuo","outfit","z.outfit","infit","z.infit","Zh"
1,0.584011140002582,-1.0740091515614,0.770320817608751,-0.921114326431423,1.34677682578238
2,0.545041141939402,-1.04922444522613,0.748240762378818,-0.965130817893676,0.930029784925392
3,0.595781895651714,-1.73176685729889,0.601792327942217,-2.06413248693104,0.815239982510071
4,0.949655798691293,0.0597747837420558,1.09872155686046,0.441540412709506,0.736665708276162
5,0.691789065903372,-0.90112859718653,0.755488213993825,-1.07065776183369,-0.789948343720653
6,0.955443825558688,0.0679416208112795,1.03025007583276,0.200889055833706,0.618960866845608
7,0.529181488186262,-0.998569025295733,0.608554361420224,-1.5844679174131,-0.276104202724639
8,1.01300111705821,0.179763801674525,1.16264185454565,0.677951205521288,-0.489935480091516
9,0.746921118043199,-1.00419678043148,0.781797819248638,-1.01593459195443,0.0912182876091876
10,0.854155672516835,-0.36203699026679,0.850726650325253,-0.604520253274546,0.193546010281064
11,1.69239397159914,2.25557691775068,1.55555191543012,2.24310156404712,-4.1998697104865
12,0.509216589349195,-1.64945809754952,0.572003044256486,-2.10655785280948,-0.0563393334132407
13,1.11961131233866,0.50260704868476,1.05664769510518,0.325224303593973,-1.94314120866814
14,0.984682993546905,0.0531490854398326,0.948125950137259,-0.157997077336724,-0.552405875982867
15,0.937567461500464,-0.163728859706443,1.00657772410393,0.10266832146809,1.1598065687921
16,0.409054584266286,-1.16506983170784,0.641076505829763,-1.28719389252733,0.324861822042268
17,0.818141352189377,-0.324838555007616,0.984460493845162,0.0219236969521642,0.959562938811042
18,1.19483199741692,0.619374245426955,1.15217593463018,0.68533172644963,0.541887026969385
19,0.972948455902348,-0.014653877725367,0.911827082959203,-0.343530514702568,0.182964052312547
20,0.653159437923317,-1.26541916495785,0.740855847759429,-1.20663838723253,1.29712095967854
21,0.745984771049693,-0.574104661048446,0.996440490185858,0.0674899875211831,0.864899795658352
22,0.993497618315976,0.0602157398344639,1.02917103490139,0.205412976412077,0.330386954427108
23,0.799704442022182,-0.192793458369953,1.14983021496348,0.581180168871433,0.794593082742451
24,0.399865896848893,-1.04373223931619,0.71648441875928,-0.882976399464467,0.996147126204241
25,0.979528310050943,0.0271999843943213,1.00290676130679,0.0877683757223639,-0.669288804581474
26,0.949711140251525,0.0135730063470074,0.991099599589454,0.0478023548997315,-0.20817861273259
27,1.32015248774065,1.22408177851589,1.31566142615606,1.39441127010065,-0.449302546936836
28,1.61535967628076,0.865809712083773,1.23294736150728,0.633794166499508,0.307531221786477
29,0.568288141334658,-1.14021404970143,0.735882299180932,-1.09221756969689,1.47115718624653
30,1.02203026731638,0.170825222431533,0.811840098590268,-0.850845574565154,-0.407908040113371
31,0.908658188342708,0.112460830349189,0.890311325181219,-0.201734389604653,0.0871836740824647
32,1.27284767351482,0.998427209268295,1.22978567669972,1.04017583202652,-1.47410915269042
33,0.741118439568597,-0.534306949515795,0.752445042712769,-0.988469368061245,-0.777325225024085
34,1.31444435641223,1.20555317315981,1.43870904606428,1.85206356597117,0.75079379898631
35,0.649707656880319,-1.33451149628871,0.685965734763542,-1.52903420656915,-0.836189914953933
36,1.48054277358541,0.955376495760512,1.21791880982919,0.803051815407791,-0.586874036318545
37,1.74503579635526,1.29998171253127,1.19554368540546,0.730541538937325,-1.29987623764822
38,1.21422067165829,0.846005728353411,1.13023673170488,0.645235994534755,-0.932695287675565
39,1.42984722165171,1.47654859606842,1.38067977686943,1.6226709561905,-0.163422800091067
40,1.04272613338731,0.250135468765774,0.94521414051658,-0.184668068617909,-0.0981433909174464
41,0.921166254975367,-0.231097945179463,0.996663323337785,0.057001915902977,0.228386128466347
42,1.50614575942205,0.861743924907727,1.35295773837161,1.03858968857036,0.766679580867362
43,1.50659837183611,1.8030599538777,1.39753605230625,1.70314806645683,-2.16538051472503
44,0.745484794718713,-0.517445131028063,0.87134363084326,-0.446357148870397,-0.712912588988886
45,1.06462862175663,0.33175096704554,1.15430432540003,0.748919417732532,0.421139697599619
46,0.757568253976208,-0.944255560205591,0.812413358107524,-0.849041601763664,0.250225480091571
47,0.839973331647875,-0.459134001024031,0.958501526967914,-0.112108744121862,0.184360760174077
48,1.12302633120889,0.421378876099945,1.23972318280717,0.96626953199455,-0.052851609369205
49,1.61597106861399,1.41036414506799,1.01046723616455,0.124936800515153,-0.646104088840185
50,0.839707432159884,-0.565351479712989,0.901766756618126,-0.392650122324843,1.24276990983482
51,0.807716069033996,-0.649974071870874,0.854884714192975,-0.619714813522173,0.604893119894444
52,0.420514405892119,-2.77222685475446,0.455572159195225,-3.08614516068881,0.852877828627119
53,0.932104557331728,-0.0162034949776494,0.955435435931171,-0.0930004459572745,-0.384901377357827
54,0.7244825964244,-0.812155655093754,0.734746978079129,-1.19203446671959,-1.30857354359245
55,0.732059164239666,-0.871831661102205,0.789867699290892,-0.925167047987406,0.379582652224941
56,0.87558674138083,-0.344101899223867,0.963183545098658,-0.0909789290268586,0.246274087988225
57,1.24630743611567,0.967462364753516,1.17596542335685,0.836079769011852,-0.942594964263035
58,0.794592198623785,-0.614686957311814,0.834450582326952,-0.701352017943062,0.710290377918614
59,0.451242627413449,-1.72609170208505,0.536229584128352,-2.25014045748934,1.66648033789505
60,0.943923061249626,0.100758976372228,0.849942721498048,-0.416347810644631,0.525059883623855
61,1.46263465946575,0.875159356678341,0.928732757307612,-0.133944031149727,-0.0986924625173018
62,0.800492441274593,-0.735184284483609,0.830546088545323,-0.751189321021851,0.663897110165386
63,1.09986832168415,0.392204300655726,1.12464835706707,0.586052128448315,0.986121047631844
64,1.58474146206274,1.35941539910056,1.37096745412017,1.42020962975612,-1.72747072136269
65,0.950093141298875,-0.0462083978025498,0.80423941912173,-0.837249711792583,0.384065438559911
66,0.825266276782697,-0.350885883201797,1.00256792532979,0.0918296913133063,-0.125059312567413
67,1.11824777251899,0.513723092635135,1.13467080764719,0.660018260959131,-1.1921370525776
68,1.27871568321854,0.955442175423381,1.12535922968837,0.611698119140731,-2.84163913720693
69,0.478420762272688,-1.09601202346045,0.657525699801682,-1.30350091141949,0.66311029601183
