"item","X2","df.X2","RMSEA.X2","p.X2"
"Item_1",30.068028080563,35,0,0.705034756409744
"Item_2",34.8874515478354,35,0,0.473552293673474
"Item_3",27.4602403574612,35,0,0.814382147697485
"Item_4",18.9804147547127,35,0,0.98745716657346
"Item_5",49.4659523000027,35,0.0203402716183125,0.0533732857824945
"Item_6",45.0322331726322,35,0.0169387766872179,0.119283510084748
"Item_7",30.6078869766969,35,0,0.680118052056186
"Item_8",29.7580387361066,35,0,0.719056695809799
"Item_9",25.0068550690059,35,0,0.894345373241722
"Item_10",31.1977661505184,35,0,0.652289392640083
"Item_11",38.1189301041587,35,0.00944465405297779,0.329436892803118
"Item_12",37.805998162761,35,0.00895832728284655,0.342339106885642
"Item_13",49.3174943311986,35,0.0202356306388763,0.0549255055719097
"Item_14",42.6918279260541,35,0.0148319418375224,0.174139674195511
"Item_15",35.8423256353864,35,0.00490821120802565,0.428768007088556
"Item_16",35.1037920441604,35,0.00172292061089424,0.463284560551621
"Item_17",46.1733518356011,35,0.0178761903675356,0.0980140964092242
"Item_18",40.3443399341904,35,0.0123631822346077,0.245819543888793
"Item_19",32.7916715993235,35,0,0.575148575572928
"Item_20",36.7835157847255,35,0.00714203069524012,0.386248032892785
"Item_21",50.2660262043634,35,0.0208951857147425,0.0456425723782325
"Item_22",31.6181988844638,35,0,0.632153406612991
"Item_23",26.260063217999,35,0,0.856648579110959
"Item_24",35.2150213831039,35,0.00247984227449834,0.458030952128821
"Item_25",54.4937611327636,35,0.0236119064439779,0.0189421855202524
"Item_26",34.4241664594727,35,0,0.495734894298373
"Item_27",30.2375973650714,35,0,0.697272787138664
"Item_28",35.9670184184663,35,0.00525896895074419,0.42303275490684
"Item_29",45.5039402193007,35,0.0173324259896008,0.110083931503616
"Item_30",52.3939847566509,35,0.0223040010201909,0.0296345549789789
