"individuo","verdadeiro","estimativa_EAP","erro_padrao","escore"
1,0.545816937604482,0.651589997521701,0.368559461986647,87
2,1.09345133149984,0.867286184440965,0.378056049101624,93
3,-0.801916369927051,-0.872292954170737,0.327362380750103,52
4,0.718618606963848,1.00153481185206,0.388970332925892,92
5,0.727428904378733,0.315776404628894,0.339978605462057,81
6,1.16205518835043,0.97270182995239,0.39453817530559,93
7,0.521329687579898,1.00658320252178,0.365239351773794,96
8,0.711805796252036,0.852878574834923,0.387482729454734,93
9,-0.399541025281435,-0.614131663551746,0.326563391934979,58
10,-1.96512790264892,-1.47236929132701,0.335844544230169,37
11,-0.534634613133558,-0.939310026947807,0.344397941631497,54
12,-0.00856700242489704,0.321891219270846,0.331907536466868,80
13,0.192400110368695,-0.120357169648338,0.337062975530809,71
14,0.319497112379001,0.105516330904304,0.338296528342908,77
15,-1.51117450066874,-0.716464423350683,0.344521891053157,53
16,1.32908456063183,1.27595306617424,0.38650373668472,99
17,1.29108313754017,0.702078394995845,0.373665138043877,88
18,1.11106744406501,0.469543867602647,0.368578413941911,83
19,-0.31699211005573,-0.322388398634564,0.340425127955061,66
20,0.398360803461291,-0.0312865801941012,0.343040752376566,74
21,0.532448458758986,0.597751889882666,0.36965324889073,89
22,-0.231999984750964,-0.507927640681595,0.349481952775355,60
23,1.15413835794653,1.25856763880585,0.41495009048207,97
24,1.20154418200911,1.46095263178914,0.407683024879937,102
25,-1.358653561357,-1.23417988421253,0.336394717461293,44
26,0.925156664324805,0.677105306436047,0.359550755988159,90
27,-0.819853128237148,-0.679763361331953,0.347015055714835,57
28,1.7471571519153,2.22553525897417,0.49337330614328,111
29,0.476486058101768,0.637746859485831,0.364010101396117,88
30,-0.193804529942108,-0.35546300213464,0.325364657756943,62
31,1.93770201534482,1.72905064896294,0.433625753824421,110
32,-1.36198203621499,-1.0893768512424,0.346029301648911,49
33,0.254500627677398,0.720349667797428,0.343481017796855,91
34,-1.17881871104479,-0.678337372076922,0.358947856367372,57
35,-0.00573516258103734,-0.125095681671246,0.320360889997139,72
36,1.29862419389684,1.17743733558479,0.390697330410026,98
37,1.19036159378784,1.19983785561259,0.402264275076051,99
38,-0.36721973894861,-0.329325066423811,0.338363644134353,61
39,0.290146638808091,-0.200814243411236,0.352193229194684,69
40,-0.222505378050879,-0.610285757255007,0.33257032568088,56
41,-0.734443963450578,-0.544677880238151,0.33672287699273,58
42,1.02515789284859,1.65144996484002,0.446218028001987,101
43,-0.785240501604491,-0.56628419110242,0.334432586522541,55
44,0.783015211674117,0.730218324779958,0.367425554609377,92
45,-0.283745113563609,-0.490586452442999,0.353103970590955,61
46,-0.910094190718852,-0.772883944504247,0.328418470206254,52
47,-0.381346355765547,0.0581740584088618,0.347663638888751,76
48,0.74955989864262,0.713789675767652,0.378306072984213,89
49,0.762950030410769,0.658101994370617,0.355770597478236,86
50,-1.06420325920903,-0.846629172877481,0.331632683571663,53
51,-0.423821078464532,-0.162537653562383,0.338986067187635,72
52,-0.402690575518531,-0.901774259525401,0.320705971433178,53
53,-2.5923635024359,-2.00578761919166,0.364676251822804,24
54,0.939359882963902,0.253427669346789,0.337413487195827,82
55,-1.47138636013951,-1.32453852721776,0.345079558764743,44
56,-1.08595275676509,-1.24386171689926,0.340453522603987,41
57,-0.966663982775852,-0.825203663079492,0.334033053085047,57
58,0.198800580295335,0.102131115484633,0.347890961422854,71
59,1.05651282177374,0.509446417523691,0.349959527966347,84
60,1.18296416105027,1.344850901349,0.400799643220101,102
61,1.32488540637342,1.37188377057577,0.399838045752056,101
62,-1.08023276476745,-0.85977657097827,0.337804421282923,56
63,-1.66678313109091,-1.62149065872208,0.365258129795405,35
64,0.605872486431279,0.649614029645229,0.363940825067124,87
65,0.342375646339586,0.227123389198597,0.334402178661809,80
66,0.554862338430547,0.559415780652494,0.362217933033058,88
67,-0.701605459869873,-0.98314464261502,0.355107607687075,50
68,0.31141800323645,0.0343213185691089,0.332132592817261,72
69,1.25698653852468,1.08878105255049,0.383806833784329,96
70,1.45959453724868,1.62169795914411,0.414189358461217,105
71,-0.852082826519441,-0.784955653152902,0.326673571547309,55
72,-2.47973072507375,-2.50826452118725,0.385331008991687,14
73,-1.17786361580072,-1.5987234734086,0.354300237667782,37
74,-0.598104539759949,-0.289205134688878,0.337748504511031,67
75,-1.98138957787944,-1.26133507866,0.34139291808605,41
76,-1.12590800096425,-0.828346601022972,0.359999025256745,53
77,1.33848309067718,1.39699256974501,0.379402528244483,105
78,-0.593777786862301,-0.386003241431979,0.336578140085554,66
79,-0.916712075026165,-0.754531320428368,0.334362765095288,60
80,0.205187605724682,0.298353685169446,0.346783039883331,83
81,0.658773150757882,0.457463626811694,0.345885977999354,85
82,0.9312845738329,0.365934377435422,0.351792785579312,87
83,-1.18599110182296,-0.763544060541432,0.330325000965914,58
84,0.0992251480142694,0.0975788627991082,0.33550697080937,77
85,0.484256709654087,0.71792394253501,0.36135589115619,89
86,-0.104008279606256,-0.106432684729216,0.336017991639816,71
87,0.535939246579395,0.0941631066616515,0.329759652127607,77
88,0.683700550749615,0.0830246534604696,0.330275896563012,73
89,-0.906584301489831,-0.839122716393334,0.322565902648665,54
90,-1.66873890172395,-0.869967488982314,0.360989168427228,56
91,1.20849668605516,1.37876714793366,0.41270423487369,103
92,-1.12578887916381,-1.37130138091038,0.346484796306551,39
93,-0.0414697945991064,-0.377285420918201,0.349901047861142,65
94,0.444103891845193,0.179104417393548,0.33324919635007,79
95,0.780774893703809,1.02164500137575,0.378022533266186,97
96,1.00576342008178,1.35431065169425,0.420768079463446,103
97,1.28364251141412,1.51803218814287,0.405537610966521,106
98,1.43942646079192,1.36009054239153,0.408854940477433,101
99,-0.5883685877293,-0.577751386307409,0.321277413095261,61
100,-0.613360458592571,-0.685789943396982,0.341500768636832,58
101,0.0850123203253028,0.227794230992789,0.362798398514235,81
102,-0.684459170877165,-0.842443838812532,0.346951818326032,54
103,-0.814973449237524,-1.15468649453172,0.334871096488355,45
104,-1.03814237944183,-1.28511018273536,0.3312966517964,46
105,0.605477721461157,1.22572494974674,0.395697798744696,102
106,-1.03223452414579,-0.75660727649835,0.334275517804945,51
107,0.741689885856686,0.624471581707204,0.381159272866764,87
108,3.03975195464448,2.37809935480197,0.509313667997768,115
109,-0.375070147319302,-0.867631112457662,0.33144724342642,56
110,-0.0220094654065447,0.0530545038796998,0.328499792915168,76
111,0.310900781380178,0.21947273740099,0.34188678524067,77
112,0.239404231409021,0.0600855390432856,0.35498108805846,77
113,0.572937951437224,-0.168396416971867,0.340122797609416,67
114,1.29538066751337,1.33506606991428,0.399799627530525,101
115,0.565506650864197,0.32144992269239,0.362265552347453,81
116,-1.40974653568147,-1.37790804930074,0.350442250784701,43
117,-1.51878079524504,-1.75278981232891,0.343506779161527,32
118,1.38410735143473,1.05577656387433,0.384541608462547,96
119,2.15950009432886,2.30212460833671,0.51282780385159,112
120,-0.75900792114888,-0.533892524598775,0.329244532768122,58
121,0.710219271692823,0.738876184725673,0.391420154361762,86
122,0.563026135034555,0.249993978855595,0.346648349887718,77
123,-0.91935512418263,-0.688078565545052,0.320439940004072,59
124,-1.66264793113105,-1.06202117707189,0.336311508892721,47
125,-1.23598209874235,-1.16760442172783,0.345694967482536,47
126,2.04791246360076,2.07196617669661,0.482032188146133,110
127,0.781742003588268,0.685989613142788,0.36599059309285,88
128,1.34659139459091,1.57501001289306,0.415351642395642,106
129,1.75504408871709,1.50494090031618,0.421357349554524,103
130,-1.26921622625362,-1.36797195242364,0.330895814691496,41
131,-1.34584201385666,-1.23803383304453,0.326745398405748,42
132,0.427053838032299,0.382258265743526,0.340047304592443,80
133,1.02081001241493,0.620036561867055,0.366599562997645,88
134,0.502360260321013,0.622117316214422,0.349106907593654,86
135,2.16083761252319,1.79380610153481,0.454224370529538,109
136,1.52043673511334,1.3370380501024,0.390531121863901,100
137,-0.949360645262488,-0.87967163320538,0.345287206029399,56
138,-2.1828766242187,-2.20108446757681,0.374973181462668,23
139,0.541332971444176,-0.256366423028268,0.347699664753859,70
140,-1.08176067037734,-0.889971044785121,0.338917612075034,55
141,0.0491975940153991,-0.20834277761,0.329274760516425,66
142,1.02027458902524,1.66079583329199,0.438353447542472,104
143,1.60936489831993,1.9440235272398,0.459820726901959,109
144,-0.43392153597436,-0.0300349490163969,0.346937637121336,79
145,-0.566951695438165,-0.654455319248908,0.335917069728298,59
146,-0.0559748608338511,0.0503579747115276,0.325027663415288,72
147,2.07853057325098,1.58972776544348,0.433270671669579,105
148,-0.251191276673277,-0.150688012228624,0.335793462788366,70
149,0.93321597377832,0.658368869693104,0.358872445469074,86
150,1.08001527625165,1.15570694830801,0.39483025329293,94
151,-1.09716348530879,-1.19702321298987,0.334071106352536,44
152,-0.897644234685243,-1.07742568005683,0.341349196196837,49
153,-1.27935875094196,-1.14056451289295,0.323020506728375,47
154,-0.473379436192909,-0.555356327489887,0.352964934893671,59
155,-0.841439284484844,-0.74287992462411,0.33597688066067,55
156,0.567563854805329,0.148097199515781,0.348880374452999,78
157,-0.636196883542576,-0.458763374043003,0.357088573864183,62
158,-0.257993790120843,0.271367078083324,0.359416097811271,82
159,-0.308496975577944,-0.85345611823523,0.340223778739785,53
160,-1.2554688174179,-0.660306022188078,0.358359381951743,56
161,1.73021429185437,1.34914563582423,0.396443654692815,103
162,1.09862869205771,1.02309525232849,0.382627870564119,93
163,-1.16690302964179,-0.402334347266864,0.32230530499925,66
164,0.017682392761767,-0.403920129510944,0.307544268972433,67
165,-0.334840675295551,-0.193735049601237,0.361083277729578,67
166,-1.24267035767056,-0.429016278861349,0.348411903538471,63
167,-0.144649673655809,0.0842970310428598,0.3457848056281,75
168,0.258378832928092,0.17845833021257,0.350998388175718,78
169,-1.0494853087151,-1.10264945277637,0.349717866336373,44
170,0.761159199576025,0.787289459541271,0.380867385864817,88
171,0.454975038834175,0.47529404022093,0.364996214144881,84
172,-0.0277681428519926,-0.230553042547261,0.350899517956843,67
173,0.134618999914506,0.457383376459202,0.342146616725132,85
174,-1.79437658732342,-1.75942169325417,0.334472820783787,31
175,0.643609275206787,0.964623701673053,0.387696154573526,90
176,-1.21495505949791,-1.10723110099561,0.354172145344918,47
177,-0.259787118175089,0.170801640774622,0.354529669154182,79
178,1.0762205023864,0.583497643116525,0.379612470992008,88
179,1.22291771435984,0.966552668999966,0.379482219708142,97
180,0.463649575085259,1.11863865177081,0.375003078990484,99
181,1.48675223658396,1.75921277095516,0.417167892782271,108
182,-0.203225803768899,-0.602907378632785,0.331871052671374,60
183,-0.398748494347735,0.0821747354573767,0.355039975665562,75
184,-1.09347680203381,-0.973048447524503,0.339077403929466,47
185,0.668809462475011,1.06591682251194,0.38722924236922,94
186,0.60816821034744,0.686765876226901,0.375643865980348,88
187,0.305089382183349,-0.0787882195504982,0.320965997881917,72
188,0.651937331647,0.743697244581992,0.393034500416467,91
189,-0.348300209251981,-0.38274483938938,0.34193565091286,64
190,-0.174810116750394,0.164418597736616,0.346320288687332,78
191,-0.15114337288254,-0.0204379221260073,0.345536685556967,73
192,-0.819917535405267,-0.777465246506519,0.344163920276652,55
193,0.0235573390429763,0.187992982680126,0.337375373203517,83
194,0.100577577751626,0.657232901190728,0.365232001329419,86
195,-0.0241353080842805,-0.384030467105824,0.354349120943565,65
196,-1.84968268973167,-1.97309330943659,0.359209166828398,27
197,-0.4728136168197,-0.724706402641605,0.339740070621119,55
198,0.704771221321031,0.695446685689444,0.35534679211368,86
199,-0.184857240388099,-0.363162784548423,0.334503713606541,67
200,-0.386138905228767,-0.861772872000379,0.33776213510865,55
201,-0.85203372344132,-0.583611104639361,0.332951666067389,62
202,1.80830778778747,0.990045536085021,0.384490689138072,96
203,-0.0719592789998807,-0.606434498833412,0.323537417138691,57
204,-1.06964879908136,-0.930818603675477,0.346542384405634,53
205,-0.295816505034883,-0.552797358880578,0.340188962084985,60
206,-1.22752633738591,-1.21879492927707,0.337828760158753,40
207,0.103493561421434,0.422339111230676,0.382776636162258,83
208,-0.678064980398569,-0.255861466258201,0.334030489046212,66
209,-1.29299385502323,-1.48330099524243,0.350500325164988,39
210,0.704367317812644,0.552714756256836,0.362736284671299,84
211,1.40308617090338,1.15607037024761,0.388681393186654,98
212,0.874408837457967,0.537577566984589,0.374470105413851,83
213,0.310949363549886,-0.251113488185277,0.35256000150938,67
214,-1.08832448313409,-1.346992958804,0.331154382771915,40
215,0.00977445004366693,0.0631476055685476,0.348361055159124,75
216,0.0108337629726797,-0.187057308777678,0.352177063958009,68
217,1.40618789623216,1.10185481605087,0.405350506396983,92
218,-1.31166704135662,-1.76334530556578,0.368411266553019,34
219,-0.304181207000694,-0.145232127143755,0.361008157865554,70
220,-0.0888087351939137,-0.763479861117622,0.340511470996618,57
221,1.36103190535114,1.47958190971133,0.420388461987417,103
222,-2.06384868353568,-2.44640073566976,0.390990471487634,16
223,-1.31696802016063,-0.656232421487776,0.342731280654408,59
224,0.701994169413464,1.61328656918445,0.442755860629497,102
225,-0.838859964146846,-0.701518633718481,0.33216534666757,57
226,0.030885105939113,0.224670234923216,0.345660649157563,78
227,0.175231762428328,-0.194941949473489,0.326696240866715,66
228,-0.261953876474317,-0.298176050600069,0.341809387795855,63
229,0.544064603532985,0.603326332284472,0.352371176323904,92
230,0.940439845109171,0.925388253781213,0.380077101345149,94
231,-0.244948531246134,0.390118749028207,0.351300734747945,81
232,1.10492265690915,1.50580629942244,0.410716696624509,104
233,-0.088573448416004,-0.208596230617023,0.342987878697613,69
234,-1.08288767519992,-0.897892870216122,0.337328615396431,51
235,1.54184332817438,0.897860222985377,0.365318911472112,94
236,0.595959415886,1.0074008586815,0.369669948568512,98
237,-0.942591229845692,-0.86393337263962,0.338463673014771,54
238,-0.49333364527222,-0.502559324964211,0.332564743285315,63
239,2.0192701850488,1.32234331748132,0.38712783509632,102
240,0.142692864106082,-0.263324785859987,0.326984961499105,70
241,0.489480821249222,-0.240371313076219,0.341798881032174,69
242,0.395815036069775,0.135335762943329,0.342199876325266,79
243,-1.10557147517725,-0.280541010164868,0.332892931973531,68
244,1.2857793300701,0.873536791189566,0.391995885197744,93
245,-1.81067121404242,-1.261878634867,0.336429342152541,44
246,1.08444496062052,0.977197237334615,0.372103941886713,96
247,-0.584219076269097,-0.599020683072595,0.337688577261049,61
248,-0.542708510945914,-0.346855003087604,0.342231110471031,68
249,-1.79195132906687,-1.45373526368578,0.342158041518848,40
250,-0.149449402739514,0.224079094091641,0.3482065706009,80
251,1.47658075835822,1.26360302877369,0.394533438689,103
252,-0.28943939422118,-0.213901159846088,0.328681658615959,70
253,0.847510476172592,1.11840819929074,0.396537009586746,100
254,-2.4766871499424,-2.0414421358041,0.354257477406694,20
255,-0.36903728147369,-0.139896387145739,0.338901580087631,72
256,1.86752377522729,0.894671581591802,0.403348401798816,91
257,0.424226769276265,0.652090418348127,0.352462783324098,86
258,0.8365304798933,0.838558218743927,0.374996987618077,93
259,-0.503551702054407,-0.00818102996900813,0.349100725630172,71
260,1.18383321379628,1.5299728026911,0.397877804635409,104
261,-0.931890046657978,-0.751189891308593,0.336052965854322,54
262,0.838941695970548,1.08093468892421,0.397484755710527,97
263,-0.90265833657799,-0.712860521703154,0.325919092508029,55
264,1.15689433750125,0.720078937097123,0.368569691804987,95
265,-0.114774167559296,0.147125986611064,0.334762626190889,78
266,1.21813427979089,1.26680742965657,0.422310879237455,97
267,0.887202126001402,0.41705389868266,0.33993739799172,87
268,1.03071645894669,1.06784560037384,0.379482336917246,96
269,-1.21034052983523,-1.79900949217856,0.351117938014708,28
270,0.82432555894425,0.477649925569974,0.348553840313693,83
271,-0.133120042575462,-0.325267984478502,0.360738201851665,66
272,0.923875672225228,0.27321679602009,0.347786680667078,83
273,0.775104222182725,0.850252874278391,0.370209106363635,92
274,0.867635450812118,0.675215573817659,0.371654525596683,91
275,-1.156092583866,-1.29720220649382,0.359421673018246,44
276,0.435070063960846,0.16539594760517,0.343870377796207,79
277,-0.966467130812964,-0.621699815637724,0.330780169875478,54
278,-0.936546709542792,-0.876179784735731,0.339532253875687,51
279,0.0855151216529002,0.184783931068705,0.339741057253648,78
280,0.258479675839296,-0.462718753955711,0.326378233466346,60
281,0.241074290192816,0.896517722897187,0.386117613385333,93
282,-0.29902418176678,0.0567016477591918,0.359670028267206,77
283,-0.505179828286505,-0.508245211757788,0.326421336034589,59
284,-0.93067011960366,-0.840756533292349,0.346949727011216,57
285,-0.262611025189028,0.032291576460739,0.340073321841467,73
286,-0.407781394904491,-0.803032416257823,0.334897449608108,55
287,-1.40207266370627,-1.05352583525149,0.358447269997162,44
288,-1.36450305544306,-1.76113811544536,0.349911850029729,32
289,-0.597353374300451,-0.641749740586609,0.337366050782944,59
290,-0.133885653600545,0.540647838030799,0.357114756378445,86
291,0.540906185813698,1.16467746892311,0.398953485443547,100
292,-0.561837137672975,-0.0869794775554092,0.372692515318836,70
293,-0.071683737787739,0.17670749963116,0.348162936098168,82
294,-0.375077578700414,-0.780009608765784,0.33925846301703,56
295,-1.31325100975603,-0.973105072475203,0.371570690577593,49
296,-2.07337741587392,-2.46185032886202,0.417822519411037,18
297,0.640440371400883,0.189564092286327,0.364100052571199,78
298,-2.06445996841161,-1.93130291534497,0.361168440452163,30
299,-0.574196713919545,-1.13350756215256,0.341418145511668,47
300,-1.55934455394115,-1.32814345568343,0.325137245324685,40
301,-2.04854378278836,-2.14793904869288,0.385136421439671,26
302,0.225476197117079,0.888912180203058,0.37728067619619,93
303,-0.759610073276852,-1.25461398527676,0.344970143219019,45
304,0.817745632527131,0.849415202067539,0.363685494348056,92
305,0.940918691942878,0.868439848872214,0.385973703387087,91
306,-0.780686506682602,-0.9077044765696,0.337467443997874,54
307,-0.916665363472725,-0.0951724898161871,0.354980148789026,73
